appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
10,Counter-Strike,Valve,Valve,,176422,4531,0,"10,000,000 .. 20,000,000",11906,322,234,145,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,16229,"{'Action': 5348, 'FPS': 4763, 'Multiplayer': 3325, 'Shooter': 3304, 'Classic': 2735, 'Team-Based': 1827, 'First-Person': 1672, 'Competitive': 1571, 'Tactical': 1310, ""1990's"": 1169, 'e-sports': 1160, 'PvP': 850, 'Old School': 731, 'Military': 615, 'Strategy': 603, 'Survival': 291, 'Score Attack': 281, '1980s': 251, 'Assassin': 221, 'Violent': 62}"
20,Team Fortress Classic,Valve,Valve,,4907,829,0,"2,000,000 .. 5,000,000",3312,0,10,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,111,"{'Action': 741, 'FPS': 302, 'Multiplayer': 254, 'Classic': 227, 'Hero Shooter': 208, 'Shooter': 202, 'Team-Based': 184, 'Class-Based': 177, 'First-Person': 164, ""1990's"": 127, 'Old School': 103, 'Co-op': 88, 'Competitive': 66, 'Fast-Paced': 58, 'Retro': 52, 'Online Co-Op': 50, 'Violent': 41, 'Mod': 34, 'Remake': 34, 'Funny': 33}"
30,Day of Defeat,Valve,Valve,,4680,521,0,"5,000,000 .. 10,000,000",151,36,30,36,499,499,0,"English, French, German, Italian, Spanish - Spain",Action,146,"{'FPS': 780, 'World War II': 245, 'Multiplayer': 199, 'Shooter': 184, 'Action': 156, 'War': 146, 'Team-Based': 129, 'Classic': 121, 'First-Person': 101, 'Class-Based': 75, 'Military': 62, 'Historical': 54, 'Tactical': 40, 'Co-op': 33, 'Singleplayer': 31, 'Difficult': 15, 'Retro': 14, 'Strategy': 14, 'Old School': 13, 'World War I': 13}"
40,Deathmatch Classic,Valve,Valve,,1720,376,0,"5,000,000 .. 10,000,000",34,0,9,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,3,"{'Action': 627, 'FPS': 137, 'Classic': 105, 'Multiplayer': 95, 'Shooter': 93, 'First-Person': 69, 'Arena Shooter': 44, 'Old School': 33, 'Sci-fi': 33, 'Competitive': 23, 'Fast-Paced': 15, 'Co-op': 14, 'Retro': 14, 'Gore': 12, 'Difficult': 11, ""1990's"": 9}"
50,Half-Life: Opposing Force,Gearbox Software,Valve,,11090,569,0,"5,000,000 .. 10,000,000",3351,56,113,56,499,499,0,"English, French, German, Korean",Action,138,"{'FPS': 874, 'Action': 316, 'Sci-fi': 242, 'Classic': 242, 'Singleplayer': 220, 'Shooter': 216, 'First-Person': 183, 'Aliens': 168, ""1990's"": 131, 'Adventure': 110, 'Atmospheric': 103, 'Military': 87, 'Story Rich': 71, 'Silent Protagonist': 61, 'Great Soundtrack': 47, 'Gore': 36, 'Puzzle': 32, 'Co-op': 30, 'Moddable': 26, 'Retro': 15}"
60,Ricochet,Valve,Valve,,3461,804,0,"5,000,000 .. 10,000,000",14,6,4,6,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,6,"{'Action': 582, 'FPS': 124, 'Multiplayer': 98, 'Classic': 87, 'First-Person': 75, 'Sci-fi': 51, 'Shooter': 48, 'Space': 40, 'Cyberpunk': 38, 'Memes': 29, 'Platformer': 26, 'Psychological Horror': 25, 'Conspiracy': 25, '3D': 24, 'Old School': 22, 'Retro': 21, 'Cult Classic': 17, 'Competitive': 14, 'Sports': 11, 'Nudity': 6}"
70,Half-Life,Valve,Valve,,59169,2111,0,"5,000,000 .. 10,000,000",1383,44,190,25,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,726,"{'FPS': 2192, 'Action': 1729, 'Sci-fi': 1728, 'Multiplayer': 1722, 'Singleplayer': 1721, 'Shooter': 1719, ""1990's"": 1713, 'First-Person': 1712, 'Aliens': 1708, 'Story Rich': 1708, 'Silent Protagonist': 1702, 'Atmospheric': 1701, 'Adventure': 1701, 'Moddable': 1694, 'Action-Adventure': 1692, 'Retro': 1688, 'PvP': 1686, 'Classic': 1686, 'Gore': 1686, 'Difficult': 1685}"
80,Counter-Strike: Condition Zero,Valve,Valve,,17273,1715,0,"5,000,000 .. 10,000,000",2750,2,29,2,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,678,"{'Action': 1352, 'FPS': 1004, 'Shooter': 741, 'Multiplayer': 596, 'First-Person': 454, 'Classic': 388, 'Singleplayer': 384, 'Tactical': 364, 'Team-Based': 313, 'Competitive': 300, 'Strategy': 177, 'Online Co-Op': 172, 'Military': 166, 'Adventure': 87, 'Survival': 73, 'Atmospheric': 60, 'Open World': 46, 'Dark': 41, 'Simulation': 40, 'Old School': 38}"
130,Half-Life: Blue Shift,Gearbox Software,Valve,,7981,782,0,"5,000,000 .. 10,000,000",5155,2,132,2,499,499,0,"English, French, German",Action,50,"{'FPS': 450, 'Action': 277, 'Sci-fi': 209, 'Singleplayer': 188, 'Shooter': 169, 'Aliens': 147, 'First-Person': 136, 'Classic': 135, 'Zombies': 88, 'Adventure': 87, ""1990's"": 79, 'Short': 72, 'Atmospheric': 68, 'Silent Protagonist': 48, 'Story Rich': 42, 'Puzzle': 22, 'Moddable': 20, 'Great Soundtrack': 19, 'Retro': 16, 'Gore': 8}"
220,Half-Life 2,Valve,Valve,,119452,3269,0,"10,000,000 .. 20,000,000",1049,107,359,107,999,999,0,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,1066,"{'FPS': 3808, 'Action': 2702, 'Sci-fi': 2353, 'Classic': 2149, 'Singleplayer': 2067, 'Story Rich': 1763, 'Shooter': 1596, 'First-Person': 1487, 'Adventure': 1274, 'Dystopian ': 1114, 'Atmospheric': 1030, 'Zombies': 938, 'Silent Protagonist': 908, 'Physics': 881, 'Aliens': 860, 'Great Soundtrack': 840, 'Horror': 656, 'Puzzle': 653, 'Multiplayer': 629, 'Moddable': 442}"
240,Counter-Strike: Source,Valve,Valve,,117512,4776,0,"10,000,000 .. 20,000,000",8244,34,544,51,999,999,0,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",Action,6310,"{'Shooter': 5207, 'Action': 3121, 'FPS': 3080, 'Multiplayer': 2447, 'Team-Based': 1630, 'First-Person': 1431, 'Tactical': 1291, 'Competitive': 1282, 'PvP': 986, 'e-sports': 883, 'Military': 721, 'War': 627, 'Strategy': 500, 'Moddable': 471, 'Difficult': 372, 'Singleplayer': 368, 'Atmospheric': 285, 'Survival': 280, 'Simulation': 244, 'Sandbox': 202}"
280,Half-Life: Source,Valve,Valve,,6896,2329,0,"2,000,000 .. 5,000,000",505,0,152,0,999,999,0,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",Action,52,"{'FPS': 371, 'Action': 276, 'Classic': 219, 'Sci-fi': 200, 'Singleplayer': 185, 'Shooter': 167, 'First-Person': 164, 'Aliens': 138, ""1990's"": 111, 'Zombies': 108, 'Story Rich': 106, 'Adventure': 89, 'Remake': 81, 'Atmospheric': 77, 'Horror': 50, 'Multiplayer': 49, 'Silent Protagonist': 49, 'Moddable': 38, 'Great Soundtrack': 35, 'Gore': 12}"
300,Day of Defeat: Source,Valve,Valve,,14514,1460,0,"5,000,000 .. 10,000,000",675,48,171,48,999,999,0,English,Action,578,"{'FPS': 613, 'World War II': 461, 'Multiplayer': 335, 'Action': 308, 'Shooter': 280, 'Team-Based': 227, 'Military': 227, 'War': 210, 'First-Person': 167, 'Historical': 136, 'Class-Based': 134, 'Classic': 122, 'Tactical': 106, 'Realistic': 92, 'Online Co-Op': 61, 'Strategy': 45, 'Gore': 42, 'Massively Multiplayer': 36, 'Simulation': 29, 'Comedy': 19}"
320,Half-Life 2: Deathmatch,Valve,Valve,,8531,959,0,"10,000,000 .. 20,000,000",2276,0,63,0,499,499,0,English,Action,236,"{'Action': 861, 'FPS': 477, 'Multiplayer': 399, 'Shooter': 255, 'First-Person': 237, 'Sci-fi': 178, 'Physics': 173, 'Competitive': 135, 'Funny': 103, 'Co-op': 93, 'Old School': 86, 'PvP': 59, 'Arena Shooter': 45, 'Moddable': 37, 'Atmospheric': 37, 'Adventure': 28, 'Great Soundtrack': 21, 'Singleplayer': 15, 'Online Co-Op': 9, 'Puzzle': 7}"
